CountryID,Country,HDI_2018,Mean_Schooling_2018,Know_abt_Sci_Q1,Understand_Sci_Q2,Disease_Sci_Q3,Poetry_Sci_Q4,LearnSci_Prim_Q5A,LearnSci_Sec_Q5B,LearnSci_Uni_Q5C,Sci_try_Inform_Q6,Health_try_knowMore_Q7,Sci_want_knowMore_Q8,Health_want_knowMore_Q9,Conf_NGOs_Q10A,Conf_Hosp_10B,Trust_Ppl_Q11A,Trust_Govt_Q11B,Trust_Scientists_Q11C,Trust_Journos_Q11D,Trust_Doctors_Q11E,Trust_NGOs_Q11F,Trust_Healers_Q11G,Trust_Science_Q12,Trust_Sci_Accuracy_Q13,Trust_UniScientists_Benefit_Q14A,Trust_UniScientists_Open_Q14B,Trust_CompnyScientists_benef_Q15A,TrustCompnyScientists_Open_Q15B,Scientists_benef_Q16,Scientists_benefYou_Q17,SciTech_improv_Q18,SciTech_Jobs_Q19,Trust_who_Q20,Trust_med_country_Q21,Trust_NursDocs_country_.Q22,Vaccn_Knowledge_Heard_Vaccn_Q23,Vaccn_Knowledge_Child_Q24,Vaccn_RiskPercep_Q25,Vaccn_Knowlege_Effktv_Q26,Have_Child_Q27,Accept_Vaccn_4Child_Q28,Religion_D1,SciRelig_disag_Q29,Sci_Relig_choose_Q30,WGM_Index,WGM_Indexr,ViewOfScience,Age,AgeCategories,Gender,Education,Urban_Rural,Household_Income,Regions_Report,Subjective_Income,WBI,EMP_2010
1,United States,0.924,13.4,1.91525423728814,1.36390827517448,1.0160481444333,1.89012096774194,1.95486459378134,1.9000999000999,1.70707070707071,1.60418743768694,1.75646123260437,1.71155778894472,1.812,1.71085714285714,1.83050847457627,1.67329842931937,2.58955987717503,1.62396694214876,2.34567901234568,1.512,1.96421052631579,2.32625698324022,1.48643006263048,1.56503642039542,1.8322440087146,2.11630695443645,2.20452099031216,2.38598442714127,1.5783619817998,1.86530612244898,1.92893401015228,1.3694474539545,3.0081053698075,2.22283205268935,1.48016276703967,1.97810945273632,1.38163265306122,1.86728395061728,1.57201646090535,1.71471172962227,1.96704871060172,1.86147186147186,1.61354581673307,1.58293838862559,3.13898716614776,2.17273673257024,1.68486096807415,55.1998011928429,2.53976143141153,1.46123260437376,2.47347347347347,1.56350806451613,3.32107355864811,7,1.60388945752303,4,3.37673956262425
2,Egypt,0.696,7.2,2.78834355828221,2.08085977482088,1.0682382133995,1.72752420470263,1.94260204081633,1.65275142314991,1.44692737430168,1.16548940464178,1.29103726082578,1.49281314168378,1.58966565349544,1.61951219512195,1.6319514661274,1.737,NA,1.63251366120219,2.92627345844504,1.73273273273273,2.18918918918919,2.53578947368421,1.6927374301676,1.64214992927864,1.84764542936288,2.298828125,1.98787061994609,2.37664783427495,1.88744075829384,1.59541062801932,1.85354141656663,1.61444141689373,2.96978851963746,1.64845360824742,1.75356415478615,1.99399399399399,1.07653575025176,1.13278855975485,1.14388489208633,1.92884371029225,1.99863760217984,2,1.16796875,1.98347107438017,3.1581920903983,2.1864406779661,2.22617534942821,40.152,2.018,1.484,1.736,1.456,3.128,3,2.439,2,3.845
3,Morocco,0.667,5.5,2.98668032786885,2.74343434343434,1.14107883817427,1.53888888888889,1.51100811123986,1.44072524407252,1.10247933884298,1.25871172122492,1.46949327817994,1.83191489361702,1.88739669421488,1.57590966122961,1.33620689655172,2.09862142099682,2.80235602094241,2.10123119015048,2.58414464534075,2.25823591923486,2.40826873385013,2.7513691128149,1.73241379310345,1.81612446958982,1.95352112676056,2.09165302782324,2.01540616246499,2.16,2.1900269541779,1.55440414507772,1.83790849673203,1.35735294117647,2.68186874304783,2.14285714285714,1.95761741122566,1.98094282848546,1.13584117032393,1.33412042502952,1.41958887545345,1.9136786188579,1.98666666666667,2,1.38733431516937,1.94820717131474,3.01901769086871,2.03491620111732,2.51051051051051,39.7692307692308,1.994,1.66033966033966,1.379,1.45154845154845,3.07192807192807,3,2.26686807653575,2,4.61738261738262
4,Lebanon,0.757,8.7,2.25551102204409,1.57429718875502,1.03752535496957,1.66316894018888,1.93724279835391,1.86970172684458,1.61640211640212,1.34068136272545,1.36847389558233,1.52774974772957,1.60160965794769,1.58057630736393,1.70522006141249,2.03121852970796,2.98662551440329,2.10206297502714,2.54136874361593,1.81827309236948,2.42752867570386,2.75571725571726,1.76354166666667,1.77128205128205,1.95222929936306,2.27870680044593,2.21390937829294,2.45562770562771,1.90092879256966,1.64180672268908,1.78306878306878,1.73422957600827,2.93106995884774,1.82904222451081,1.63738508682329,1.992,1.12651821862348,1.46865364850976,1.41948717948718,1.89701492537313,1.98823529411765,1.99395770392749,1.55233853006682,1.61194029850746,2.94283732223413,1.97814776274714,2.24281150159744,41.819,2.041,1.508,1.923,1.47,3.221,13,2.25825825825826,3,3.411
5,Saudi Arabia,0.853,9.5,2.39901477832512,1.81441263573544,1.10625620655412,1.69405940594059,2,1.84938524590164,1.56209150326797,1.42786561264822,1.6003937007874,1.77165354330709,1.81496062992126,1.74526066350711,1.75453575240128,1.90519877675841,NA,1.6037527593819,2.61740166865316,1.85125628140704,1.90628571428571,2.59132420091324,1.63495838287753,1.74827586206897,1.80025445292621,1.99272197962154,1.85677083333333,1.97242380261248,1.54637096774194,1.90461847389558,1.93055555555556,1.31520644511581,2.71188118811881,NA,1.70159680638723,1.93694581280788,1.25894736842105,1.55755015839493,1.56429330499469,1.79541108986616,1.97007481296758,2,NA,NA,3.21165487421344,2.21462264150943,1.5734693877551,30.9429133858268,1.50891089108911,1.39173228346457,2.375,1.90157480314961,3.1998031496063,13,1.98703888334995,4,3.27755905511811
6,Jordan,0.735,10.4,2.49147442326981,1.70824949698189,1.0860103626943,1.76687116564417,1.97525773195876,1.81383647798742,1.42795698924731,1.35879396984925,1.62825651302605,1.71327967806841,1.833,1.42757821552723,1.62985685071575,2.15583075335397,2.30257510729614,2.07579787234043,2.60141509433962,1.93963782696177,2.73882352941176,2.68756641870351,1.77682403433476,1.85823336968375,2.10348837209302,2.40735873850197,2.31314285714286,2.46736292428198,2.04008438818565,1.57815845824411,1.75413223140496,1.51664876476907,2.78041237113402,1.88372093023256,1.83165322580645,1.981,1.15408163265306,1.36277602523659,1.32592592592593,1.92236842105263,1.99710144927536,2,1.44142259414226,1.94736842105263,2.85115530303409,1.89318181818182,2.39517014270033,40.2305389221557,1.98301698301698,1.55688622754491,1.92107892107892,1.70159680638723,3.14870259481038,13,2.492,3,4.41117764471058
8,Turkey,0.791,8,2.3762677484787,1.94320486815416,1.05623721881391,1.70217391304348,1.72736954206603,1.86219512195122,1.75463917525773,1.44637385086823,1.51269035532995,1.90339157245632,1.90707070707071,1.38713318284424,1.72275132275132,1.9917695473251,2.41903719912473,1.85976267529666,2.70310825294748,1.76734693877551,2.72677595628415,2.37221633085896,1.62527964205817,1.76265466816648,2.23122765196663,2.36274509803922,2.4093637454982,2.4280303030303,1.94023479188901,1.69784946236559,1.79224973089343,1.60338983050847,2.95670538542767,2.08004268943436,1.75179487179487,1.9078812691914,1.28327645051195,1.6518691588785,1.49595375722543,1.79626485568761,1.97202797202797,1.96559139784946,1.39696586599241,1.57954545454545,2.87288389513034,1.9,2.14317673378076,36.221,1.77263581488934,1.493,2.0960960960961,1.802,3.325,13,2.20668693009119,3,3.587
9,Pakistan,0.562,5.2,2.95059076262084,2.92572658772874,1.34969325153374,1.89428918590522,1.62266355140187,1.50564617314931,1.20026525198939,1.1129363449692,1.23571428571429,1.45886075949367,1.54098360655738,1.481220657277,1.79939516129032,1.69153225806452,2.43952483801296,2.03181818181818,2.29871645274212,1.835,2.53136094674556,2.20961145194274,2.17391304347826,2.13211845102506,2.14016489988221,2.24238733252132,2.25467289719626,2.34686346863469,1.8125,1.78684807256236,1.90795454545455,1.36623067776457,2.60806618407446,2.01464435146443,1.81920326864147,1.78063851699279,1.28629579375848,1.41355463347165,1.44444444444444,1.8952380952381,1.94188376753507,2,1.1452581032413,1.97457627118644,2.8423106497474,1.87773933102653,1.96568047337278,33.863,1.73847695390782,1.5,1.43543543543544,1.4,3.189,12,2.29317269076305,2,4.137
10,Indonesia,0.694,8,2.77021276595745,2.83860759493671,1.13236814891417,1.35995740149095,1.92964824120603,1.73645833333333,1.17948717948718,1.35685483870968,1.37941473259334,1.7010101010101,1.68832487309645,1.55238095238095,1.92083333333333,1.99155227032735,2.04061470911087,2.15911730545877,2.33293978748524,1.89029535864979,2.46867469879518,2.41935483870968,1.97627118644068,2.11479289940828,2.20171149144254,2.34289439374185,2.23255813953488,2.30598958333333,1.92426035502959,1.86244541484716,1.92857142857143,1.24053452115813,2.91032325338895,1.85118376550169,1.87117903930131,1.70612244897959,1.30893118594436,1.55737704918033,1.89817629179331,1.775,1.91263940520446,2,1.24869383490073,1.93589743589744,2.79216507176675,1.84090909090909,1.89225181598063,38.892,1.972,1.582,1.73573573573574,1.37,3.232,11,1.92190669371197,2,3.779
11,Bangladesh,0.608,5.8,2.73667377398721,2.30315361139369,1.1117136659436,1.65882352941176,1.83718244803695,1.64690026954178,1.16316639741519,1.18705763397371,1.3969696969697,1.6905737704918,1.79086294416244,1.67803837953092,1.8502024291498,1.81325301204819,1.75897435897436,1.82475355969332,1.99572192513369,1.69076305220884,2.19578947368421,3.09504550050556,1.76502732240437,1.74211099020675,1.85027932960894,2.10606060606061,1.91583610188261,2.12079701120797,1.76470588235294,1.88080168776371,1.9413612565445,1.09251101321586,2.75303643724696,1.77515400410678,1.75127942681679,1.98298298298298,1.05731832139202,1.08307692307692,1.07818930041152,1.84431137724551,1.95203488372093,2,1.12339930151339,1.9622641509434,3.11521106259389,2.13864628820961,1.7937701396348,34.959,1.757,1.499,1.5975975975976,1.158,3.131,12,2.11723446893788,2,4.257
