Country;BCG_vacc_rates;Mean_Schooling_2018;HDI_2018;Countnum;SCI_KNOWLEDGE;TRUST_GOV;TRUS_SCIENTISTS; TRUST_SCI_ACCURACY;TRUST_SCI;VACCINE_KNOWLEDGE; ATTITUDE_VACC_IMP;ATTITUDE_VACC_EFF;ATTITUDE_VACC_SAFE;CHILDREN_VACC;RELIGION;SCIENCE_CONF_REL;BELIEVE_SCIENCE;WGM_Index;WGM_Indexr;ViewOfScience;Age;Gender;EDUC_LVL;INCOME_HOUSE;CHILD_ALIVE
Chad;51;2,3;0,404;103;1,4624;1,487012987;1,612021858;1,710526316;1,740802676;0,779479326;3,65936255;3,419222904;3,289256198;0,94047619;0,992283951;0,460144928;3,817073171;2,698630137;1,729477612;2,126159555;36,7020649;0,68879056;0,422848665;3,122418879;0,994100295
Chile;96;10,3;0,843;104;1,124020888;1,331571995;1,770422535;1,991643454;1,970629371;0,922976501;3,7;3,37302726;3,271284271;0,971550498;0,965811966;0,508591065;7,024221453;2,767676768;1,847645429;2,635581062;53,60104302;0,306388527;0,776470588;3,005215124;0,998696219
China;99;7,8;0,752;30;1,042883549;;2,38529043;2,216014078;2,321497491;0,896491837;3,604623824;3,362788812;3,194925493;0,89668927;;;;3,283811475;2,190175755;1,485027415;50,68666667;0,448666667;0,277684844;2,738333333;0,998666667
Colombia;89;8,3;0,747;105;1,066197183;0,974322397;1,710879285;1,870426829;1,890965732;0,930362117;3,868065967;3,476479514;3,482496195;0,945537065;0,986956522;0,482866044;2,741721854;2,549222798;1,730253353;2,48976378;46,14979196;0,3259362;0,659248957;2,901525659;1
Comoros;94;4,8;0,503;106;0,715421304;0,869712352;1,256120527;1,845437616;1,962134251;0,929230769;3,885572139;3,816013629;3,635135135;0,941471572;1;0,173674589;1,130434783;2,551020408;1,648798521;2,581081081;41,09160305;0,355725191;0,436728395;3,141984733;0,998473282
Congo;88;6,3;0,457;108;1,277870216;1,31047619;1,198818898;1,777335984;1,740805604;0,819466248;3,841698842;3,729941292;3,205128205;0,874274662;0,969645868;0,391650099;4,201030928;2,482142857;1,661322645;2,507186858;42,29548989;0,592534992;0,781299525;3,169517885;0,99533437
Costa Rica;92;8,8;0,794;82;1,09731114;1,640789474;2,084931507;2,145333333;2,148;0,962962963;3,913678619;3,645721925;3,627187079;0,970350404;0,970860927;0,523460411;7,468208092;3,072649573;2,013157895;2,263888889;50,88010204;0,341836735;0,603580563;3,057397959;0,996173469
Croatia;98;11,3;0,831;109;1,566964286;1,252615845;2,081377152;2,034755134;2,036220472;0,957037037;3,437898089;3,175206612;2,975247525;0,9872;0,958966565;0,476635514;44,45934959;3;1,955484897;2,061452514;52,69026549;0,423303835;1,183976261;3,126843658;0,989675516
Cyprus;;12,1;0,869;111;1,606927711;1,573415765;2,264802632;2,307086614;2,413675214;0,725782414;3,585921325;3,222222222;3,036016949;0,977035491;0,976261128;0,708191126;20,58476658;3,224242424;2,11443662;1,976391231;54,86873156;0,482300885;1,24408284;3,193215339;1
Czech;;12,7;0,888;21;1,394957983;1,509298999;2,264919942;2,226138032;2,192082111;0,993093923;3,56017192;3,434472934;3,148040639;0,992816092;0,481765835;0,182320442;45,625;3,368715084;2,219796215;1,739849624;53,6744186;0,437756498;1,045143639;3,047879617;0,989056088
Denmark;;12,6;0,929;25;1,936260623;1,794034091;2,496433666;2,24822695;2,550991501;0,957507082;3,76035503;3,383136095;3,073025335;0,971428571;0,800578035;0,276315789;3,416666667;3,156028369;2,209631728;1,342368046;57,0325779;0,471671388;1,168330956;3,123229462;1
Dominican Republic;99;7,8;0,736;114;1,2436751;1,439189189;1,560057887;2,060734463;2,065006916;0,824377457;3,897926635;3,673667205;3,671009772;0,9273021;0,943899018;0,418096724;3,471698113;2,795238095;1,847645429;2,34948605;46,72608126;0,359108781;0,436750999;2,937090433;0,997378768
Ecuador;90;8,7;0,752;115;1,093795094;1,330409357;1,386185243;1,722054381;1,765321375;0,94092827;3,846846847;3,56394453;3,544753086;0,974281392;1;0,491311216;4,687707641;2,396226415;1,650297619;2,781299525;47,09563994;0,317862166;0,776371308;3,112517581;1
Egypt;95;7,2;0,696;2;1,065368567;;2,387596899;2,358299595;2,3;0,99864682;3,921409214;3,8815427;3,898491084;0,998637602;1;0,151624549;9,261904762;3,232142857;2,199195171;2,247739602;44,92963464;0,48173207;0,649526387;2,98511502;0,99458728
