CountryID,Country,HDI_2018,Mean_Schooling_2018,Science_Literacy,Know_abt_Sci_Q1,Understand_Sci_Q2,Disease_Sci_Q3,Poetry_Sci_Q4,Science_Education,LearnSci_Prim_Q5A,LearnSci_Sec_Q5B,LearnSci_Uni_Q5C,Sci_try_Inform_Q6,Health_try_knowMore_Q7,Sci_want_knowMore_Q8,Health_want_knowMore_Q9,Conf_NGOs_Q10A,Conf_Hosp_10B,Trust_Ppl_Q11A,Trust_Govt_Q11B,Trust_Scientists_Q11C,Trust_Journos_Q11D,Trust_Doctors_Q11E,Trust_NGOs_Q11F,Trust_Healers_Q11G,Trust_Science_Q12,Trust_Sci_Accuracy_Q13,Trust_UniScientists,Trust_UniScientists_Benefit_Q14A,Trust_UniScientists_Open_Q14B,Trust_CompnyScientists,Trust_CompnyScientists_benef_Q15A,TrustCompnyScientists_Open_Q15B,Scientists_benef_Q16,Scientists_benefYou_Q17,SciTech_improv_Q18,SciTech_Jobs_Q19,Trust_who_Q20,Trust_med_country_Q21,Trust_NursDocs_country_Q22,Vaccn_Knowledge_Heard_Vaccn_Q23,Vaccn_Knowledge_Child_Q24,Vaccn_RiskPercep_Q25,Vaccn_Knowledge_Effktv_Q26,Have_Child_Q27,Accept_Vaccn_4Child_Q28,Religion_D1,SciRelig_disag_Q29,Sci_Relig_choose_Q30,WGM_Index,WGM_Indexr,ViewOfScience,Age,AgeCategories,Gender,Education,Urban_Rural,Household_Income,Regions_Report,Subjective_Income,WBI,EMP_2010
50,Vietnam,0.694,8.2,2.0875,2.03623188405797,2.11111111111111,1.76772616136919,1.80769230769231,-7.27690972222222,0.123222748815166,-2.91807228915663,-27.1417721518987,1.23234624145786,1.41457858769932,1.5184331797235,1.68493150684932,1.5880829015544,1.86651053864169,3.03935185185185,NA,2.7467018469657,2.42,3.11547344110854,2.56951871657754,2.42615012106538,2.79603399433428,2.82954545454545,2.6877133105802,2.77811550151976,2.62,2.61262798634812,2.65740740740741,2.5700325732899,2.15776081424936,1.76485148514851,1.94405594405594,2.67258883248731,2.71100917431193,3.14726840855107,3.3938679245283,2,4.62672811059908,1.94390243902439,4.34536082474227,1.7437641723356,1.94189602446483,1.37254901960784,1.12396694214876,1.26666666666667,2.74357843137941,1.78235294117647,2.00263157894737,38.3877551020408,1.9047619047619,1.4671201814059,1.96590909090909,1.56235827664399,3.22448979591837,11,2.03644646924829,2,3.33560090702948
51,Thailand,0.755,7.6,2.21819425444596,1.96486486486486,2.44979919678715,1.85864661654135,1.61709401709402,-7.34602538410154,-2.23355704697987,-26.1682626538988,-25.1640926640927,1.12765957446809,1.45347313237221,1.45290858725762,1.78449408672799,1.58139534883721,1.93202614379085,2.875,3.0173564753004,3.09774436090226,2.95634920634921,3.53032258064516,2.80062794348509,2.8168249660787,3.06332842415317,3.09319526627219,2.97326203208556,3.05186385737439,2.87737478411054,2.81602112676056,2.86258278145695,2.76256499133449,2.24778761061947,1.8516228748068,1.94134897360704,2.60157480314961,2.90838709677419,3.06325706594886,3.52658884565499,2,4.84041184041184,1.30659767141009,4.70519480519481,1.74519846350832,1.97103918228279,2,1.26436781609195,2.15972222222222,3.00469745223408,2.02388535031847,1.888,48.5211267605634,2.34314980793854,1.58514724711908,1.46923076923077,1.34443021766965,3.06145966709347,11,1.78104993597951,3,3.21382842509603
52,Cambodia,0.582,4.8,2.04209183673469,1.83939774153074,2.192037470726,1.83968462549277,1.52414772727273,-25.6310975609756,-13.4212368728121,-51.4798927613941,-80.5389221556886,1.16838487972509,1.46978335233751,1.79008073817762,1.90351872871737,1.77433628318584,1.86543209876543,2.88034188034188,NA,2.92255892255892,2.8649468892261,3.20807061790668,2.95341614906832,2.77278401997503,3.087890625,3.1420233463035,3.01661129568106,3.03947368421053,2.91788856304985,2.93939393939394,2.93647058823529,2.88643533123028,2.10166919575114,1.74819102749638,1.93833780160858,2.88579795021962,2.65925058548009,3.33923303834808,3.29955947136564,2,4.75170842824601,1.52280701754386,4.5550405561993,1.80995475113122,1.88795518207283,2,1.2707182320442,2.64795918367347,3.01591928250224,2.01569506726457,1.9983305509182,40.4196832579185,2.02262443438914,1.6685520361991,1.11237230419977,1.1052036199095,3.05656108597285,11,1.67048054919908,2,3.68212669683258
53,Laos,0.601,5.2,2.34649122807018,2.21443736730361,2.41093117408907,1.95550847457627,1.48081264108352,-4.71042163882259,-4.06189555125725,-10.0463709677419,-17.7552447552448,1.22480620155039,1.48757170172084,1.80769230769231,1.87476280834915,1.51181102362205,1.88269230769231,2.765625,NA,3.025,3.00205338809035,3.37258687258687,2.89693593314763,2.78167641325536,3.09767441860465,3.17149758454106,3.1348167539267,3.16626506024096,3.0675,3.01312335958005,3.03703703703704,2.94683544303797,2.46038543897216,1.91189427312775,1.98591549295775,2.84989429175476,2.73837209302326,3.44715447154472,3.482,2,4.82732447817837,1.325,4.70275590551181,1.81203007518797,1.91822429906542,2,1.26811594202899,2.12264150943396,3.10182539682381,2.11666666666667,1.56279069767442,40.2274436090226,2.00751879699248,1.53571428571429,1.75375939849624,1.33458646616541,3.52067669172932,11,1.84469696969697,2,2.55263157894737
54,Myanmar,0.578,4.9,1.96945701357466,1.89050279329609,2.01362683438155,1.82142857142857,1.65217391304348,-17.2470355731225,-10.6137566137566,-35.7889150943396,-55.2364341085271,1.05912863070539,1.23219814241486,1.64566115702479,1.86405767250257,1.51400730816078,1.91631355932203,3.05857740585774,3.51616499442586,3.29084158415842,3.02298850574713,3.47563559322034,2.7240099009901,2.66169724770642,3.39368165249089,3.48739495798319,3.27032258064516,3.35245901639344,3.16835443037975,3.18356867779204,3.25704225352113,3.10763454317897,2.38787878787879,1.8056206088993,1.94696132596685,2.92988505747126,2.7991452991453,3.51868131868132,3.53418803418803,2,4.85169927909372,1.31827731092437,4.73922187171399,1.89830508474576,1.91767881241565,2,1.16,2.82706766917293,3.30667442762515,2.30034924330617,1.7780580075662,43.1834016393443,2.13319672131148,1.50512295081967,1.32274590163934,1.31147540983607,3.15983606557377,11,1.99174406604747,2,3.49487704918033
55,New Zealand,0.917,12.5,3.04597107438017,2.71620227038184,3.37204522096608,1.98035160289555,1.89229144667371,-1.88201230546507,1.79635584137192,1.31016597510373,-10.5367114788004,1.42798353909465,1.59526261585994,1.5625,1.72463768115942,1.7595818815331,1.86503719447396,3.45233050847458,2.93993677555321,3.40944881889764,2.6540483701367,3.66804550155119,3.14898177920686,2.57282608695652,3.45511482254697,3.409375,3.25835189309577,3.37671957671958,3.12761276127613,2.91926803013994,2.99583766909469,2.83690987124464,2.34796238244514,1.83843717001056,1.92584745762712,2.40405244338498,2.89896907216495,3.19727177334732,3.64943123061013,2,4.59565667011375,1.90717299578059,4.3704092339979,1.76488706365503,1.95564516129032,1.60805084745763,1.48960302457467,1.98775510204082,3.26028442594693,2.27887617065557,1.796573875803,61.1909650924025,2.68678459937565,1.55749486652977,2.18969072164948,1.60539979231568,3.21252566735113,18,2.46742502585315,4,3.65913757700205
57,Botswana,0.717,9.3,2.41062176165803,2.23809523809524,2.55050505050505,1.91644908616188,1.56111111111111,-6.76328502415459,-6.5171568627451,-4.68279569892473,-23.6109510086455,1.28817733990148,1.44743276283619,1.85856079404467,1.92909535452323,1.68595041322314,1.72319201995012,2.38345864661654,2.84974093264249,2.69662921348315,2.86351706036745,3.07920792079208,2.60497237569061,1.68146214099217,2.9612188365651,2.95833333333333,2.88571428571429,2.90489913544669,2.79701492537313,2.93230769230769,2.98305084745763,2.85,2.21657754010695,1.81627296587927,1.94871794871795,2.78740157480315,2.86913580246914,3.39086294416244,3.30710659898477,2,4.84107579462103,1.5264483627204,4.68030690537084,1.6747572815534,1.96057347670251,1.9525,1.29565217391304,2.59,2.86091160220994,1.92265193370166,1.80277777777778,37.5291262135922,1.82682926829268,1.64320388349515,1.85121951219512,1.29611650485437,3.3373786407767,4,1.545,3,4.07766990291262
60,Ethiopia,0.463,2.7,2.49832775919732,2.26666666666667,2.69108280254777,1.90545454545455,1.52101910828025,-4.41710296684119,-19.303441084463,-20.1809651474531,-17.1022530329289,1.24973432518597,1.35157894736842,1.88222923238696,1.91995841995842,1.65939393939394,1.80785123966942,3.39484536082474,3.52848101265823,3.06821282401091,2.82286432160804,3.22406639004149,2.76864728192162,1.93114754098361,3.25091352009744,3.10137672090113,3.01343705799151,3.09961190168176,2.91436464088398,2.90408163265306,2.97110552763819,2.82567567567568,2.23030303030303,1.79904875148633,1.97008055235903,2.87164527421237,2.84297520661157,3.45604963805584,3.41279669762642,2,4.9537037037037,1.21428571428571,4.83937823834197,1.72147995889003,1.97439544807966,2,1.19977426636569,2.77401129943503,3.03634615385,2.03846153846154,1.88779284833539,32.3206577595067,1.6358024691358,1.57245632065776,1.3792394655704,1.23843782117163,3.25796505652621,1,1.52004110996917,1,3.64234326824255
61,Mali,0.427,2.3,2.30437665782493,2.18637532133676,2.39514066496164,1.90425531914894,1.36708860759494,-3.10346854791299,-20.4100985221675,-7.45541401273885,-12.5280701754386,1.38613861386139,1.44553243574051,1.91,1.89925373134328,1.74264705882353,1.76758793969849,3.26923076923077,2.60374832663989,2.96974063400576,2.87743732590529,3.175,2.97071742313324,2.97940797940798,3.17598908594816,3.15968992248062,2.89446721311475,2.90816326530612,2.84865900383142,2.9375,2.92776886035313,2.91181988742964,2.17257318952234,1.71328671328671,1.90449438202247,2.71232876712329,2.67779204107831,3.12447552447552,3.20519835841313,2,4.8,1.76975476839237,4.65512820512821,1.70230862697448,1.92560553633218,1.99754601226994,1.20839580209895,2.75757575757576,2.98657187993997,2.0173775671406,2.04139072847682,35.9817739975699,1.76535626535627,1.37910085054678,1.40731707317073,1.28432563791009,3.2588092345079,5,1.5069008782936,1,4.03037667071689
62,Mauritania,0.52,4.5,2.45209973753281,2.44897959183673,2.41229193341869,1.8780487804878,1.71617161716172,-5.85438335809807,-6.71059113300493,-5.35127860026918,-21.1320754716981,1.28266331658291,1.31858407079646,1.78064516129032,1.80625,1.49763033175355,1.49677419354839,2.92091836734694,2.15896739130435,2.50232558139535,2.18075801749271,2.79921773142112,2.49251497005988,2.2089552238806,2.83652430044183,2.68910256410256,2.36344537815126,2.31818181818182,2.32571428571429,2.29564315352697,2.27407407407407,2.20887245841035,1.87122416534181,1.52491694352159,1.78267716535433,2.45242070116861,2.76765083440308,2.48367029548989,2.57120500782473,2,4.78260869565217,1.60666666666667,4.63841059602649,1.58183990442055,1.93292682926829,2,1.24825174825175,2.81481481481481,2.42743902439199,1.51742160278746,2.44716981132075,34.8243727598566,1.7421686746988,1.43249701314217,1.66996291718171,1.3452807646356,NA,5,1.75295663600526,2,4.08721624850657
